gene._id,gene.bnumber,gene.name
RDBECOLIGNC00846,b0611,rna
RDBECOLIGNC03215,b0612,citT
RDBECOLIGNC02091,b0624,crcB
RDBECOLIGNC01277,b0627,tatE
RDBECOLIGNC01541,b0629,ybeF
RDBECOLIGNC01539,b0630,lipB
RDBECOLIGNC01540,b0631,ybeD
RDBECOLIGNC00195,b0632,dacA
RDBECOLIGNC00844,b0633,rlpA
RDBECOLIGNC00599,b0634,mrdB
RDBECOLIGNC01228,b0636,rlmH
RDBECOLIGNC01229,b0637,rsfS
RDBECOLIGNC03225,b0638,cobC
RDBECOLIGNC01377,b0640,holA
RDBECOLIGNC00845,b0641,lptE
RDBECOLIGNC00524,b0642,leuS
RDBECOLIGNC02395,b0643,ybeL
RDBECOLIGNC03229,b0646,djlB
RDBECOLIGNC03232,b0649,djlC
RDBECOLIGNC03233,b0650,hscC
RDBECOLIGNC00164,b0657,lnt
RDBECOLIGNC03238,b0659,ybeY
RDBECOLIGNC03239,b0660,ybeZ
RDBECOLIGNC03240,b0661,miaB
RDBECOLIGNC03241,b0662,ubiF
RDBECOLIGNC00383,b0680,glnS
RDBECOLIGNC01708,b0686,ybfF
RDBECOLIGNC03244,b0689,ybfP
RDBECOLIGNC01709,b0691,ybfG
RDBECOLIGNC00509,b0694,kdpE
RDBECOLIGNC00508,b0695,kdpD
RDBECOLIGNC00838,b0700,rhsC
RDBECOLIGNC01475,b0702,ybfB
RDBECOLIGNC03245,b0703,ybfO
RDBECOLIGNC03246,b0705,ybfL
RDBECOLIGNC01477,b0706,ybfD
RDBECOLIGNC03247,b0709,dtpD
RDBECOLIGNC03248,b0710,ybgI
RDBECOLIGNC03249,b0711,pxpB
RDBECOLIGNC03250,b0712,pxpC
RDBECOLIGNC03251,b0713,pxpA
RDBECOLIGNC03252,b0714,nei
RDBECOLIGNC03253,b0715,abrB
RDBECOLIGNC03254,b0716,ybgO
RDBECOLIGNC03255,b0717,ybgP
RDBECOLIGNC03256,b0718,ybgQ
RDBECOLIGNC00998,b0737,tolQ
RDBECOLIGNC00999,b0738,tolR
RDBECOLIGNC00995,b0739,tolA
RDBECOLIGNC03258,b0746,valZ
RDBECOLIGNC03259,b0747,lysY
RDBECOLIGNC03260,b0748,lysZ
RDBECOLIGNC03261,b0749,lysQ
RDBECOLIGNC01618,b0760,modF
RDBECOLIGNC03264,b0761,modE
RDBECOLIGNC01216,b0766,ybhA
RDBECOLIGNC03270,b0771,ybhJ
RDBECOLIGNC02409,b0772,ybhC
RDBECOLIGNC01215,b0773,ybhB
RDBECOLIGNC03271,b0780,ybhK
RDBECOLIGNC03274,b0788,ybhN
RDBECOLIGNC03275,b0789,clsB
RDBECOLIGNC03276,b0790,ybhP
RDBECOLIGNC01530,b0798,ybiA
RDBECOLIGNC01532,b0801,hcxB
RDBECOLIGNC03287,b0815,opgE
RDBECOLIGNC03289,b0817,mntR
RDBECOLIGNC03290,b0818,ybiR
RDBECOLIGNC03294,b0822,ybiV
RDBECOLIGNC03295,b0823,ybiW
RDBECOLIGNC03297,b0825,fsaA
RDBECOLIGNC03298,b0829,gsiA
RDBECOLIGNC03299,b0830,gsiB
RDBECOLIGNC03300,b0831,gsiC
RDBECOLIGNC03301,b0832,gsiD
RDBECOLIGNC03303,b0834,dgcI
RDBECOLIGNC03306,b0837,yliI
RDBECOLIGNC03307,b0838,gstB
RDBECOLIGNC00217,b0840,deoR
RDBECOLIGNC03309,b0842,mdfA
RDBECOLIGNC03310,b0843,ybjH
RDBECOLIGNC03314,b0847,ybjL
RDBECOLIGNC03315,b0848,ybjM
RDBECOLIGNC03317,b0858,ybjO
RDBECOLIGNC03318,b0859,rlmC
RDBECOLIGNC03321,b0867,amiD
RDBECOLIGNC02430,b0875,aqpZ
RDBECOLIGNC03328,b0876,ybjD
RDBECOLIGNC03331,b0879,macB
RDBECOLIGNC00152,b0882,clpA
RDBECOLIGNC02533,b0883,serW
RDBECOLIGNC01097,b0885,aat
RDBECOLIGNC00025,b0902,pflA
RDBECOLIGNC03337,b0905,ycaO
RDBECOLIGNC03338,b0906,ycaP
RDBECOLIGNC03339,b0909,ycaL
RDBECOLIGNC02238,b0913,ycaI
RDBECOLIGNC01374,b0915,lpxK
RDBECOLIGNC03340,b0916,ycaQ
RDBECOLIGNC03341,b0917,ycaR
RDBECOLIGNC00511,b0918,kdsB
RDBECOLIGNC03342,b0919,ycbJ
RDBECOLIGNC02057,b0920,elyC
RDBECOLIGNC03343,b0926,mepK
RDBECOLIGNC03344,b0927,gloC
RDBECOLIGNC00090,b0930,asnS
RDBECOLIGNC03350,b0939,elfD
RDBECOLIGNC02255,b0944,ycbF
RDBECOLIGNC03355,b0946,zapC
RDBECOLIGNC03356,b0947,ycbX
RDBECOLIGNC03357,b0948,rlmL
RDBECOLIGNC03358,b0949,uup
RDBECOLIGNC03362,b0955,ycbZ
RDBECOLIGNC02398,b0956,matP
RDBECOLIGNC03364,b0960,yccS
RDBECOLIGNC03365,b0961,yccF
